Firm Name,Partner Name,Focus Area,Check Size,Stage,Website,Contact Method,Notes
AI Fund,Andrew Ng,AI/ML Applications,"$500K-$5M",Seed to Series A,https://aifund.ai,Apply via website; LinkedIn outreach to partners,"Founded by Andrew Ng. Builds and invests in AI companies. Strong thesis alignment with hallucination-free AI."
AIX Ventures,Shack Lovett,AI-First Startups,"$250K-$2M",Pre-Seed/Seed,https://www.aixventures.com,Website application; Twitter/X DM,"Early-stage AI fund. Invests in foundational AI infrastructure and applications."
Gradient Ventures,Darian Shirazi,AI/ML (Google-backed),"$1M-$4M",Seed to Series A,https://www.gradient.com,Apply via website; warm intro via Google network,"Google's AI-focused venture fund. Provides cloud credits and Google ecosystem access. Strong fit for Gemini-powered startups."
Conviction,Sarah Guo,AI Infrastructure & Applications,"$1M-$10M",Seed to Series B,https://www.conviction.com,Email; LinkedIn; Twitter/X,"Led by Sarah Guo (ex-Greylock). Deep AI thesis. Very active on Twitter/X sharing AI investment thesis."
Radical Ventures,Jordan Jacobs,AI/Deep Tech,"$1M-$15M",Seed to Series B,https://www.radical.vc,Apply via website; LinkedIn,"Co-founded by Geoffrey Hinton advisor. Strong AI pedigree. Focuses on transformative AI companies."
Coatue Management,Matt Mazzeo,Technology/AI,"$500K-$50M",Seed to Growth,https://www.coatue.com,Warm intro preferred; LinkedIn,"Large crossover fund with dedicated early-stage AI practice. Moves fast on deals."
AI Grant,Nat Friedman & Daniel Gross,AI Research & Products,"$250K grant + $1M investment",Pre-Seed/Seed,https://aigrant.com,Apply during open application windows,"Non-dilutive grant + optional investment. High-signal program for AI builders."
Y Combinator,Garry Tan (CEO),Broad / AI Heavy Focus,"$500K (standard deal)",Pre-Seed/Seed,https://www.ycombinator.com,Apply at ycombinator.com/apply,"Top accelerator. $500K for 7% equity. Strong AI batch focus since 2023. Demo Day network invaluable."
Sequoia Capital,Konstantine Buhler,AI/Enterprise Software,"$500K-$5M (Seed via Arc)",Seed (Arc program),https://www.sequoiacap.com,Apply to Sequoia Arc; warm intros,"Arc is their seed program. Konstantine focuses on AI. Extremely competitive but highest-signal backing."
Andreessen Horowitz (a16z),Anjney Midha,AI/Infrastructure,"$500K-$50M",Seed to Growth,https://a16z.com,Apply via a16z.com; warm intros; Twitter/X,"Dedicated AI fund (>$1.5B). Anjney Midha and Justine Moore lead AI investments. Platform team adds huge value."
Khosla Ventures,Vinod Khosla,AI/Deep Tech/Enterprise,"$500K-$5M",Seed to Series A,https://www.khoslaventures.com,Apply via website; LinkedIn to partners,"Vinod personally evaluates AI deals. Strong conviction investor. Likes contrarian AI thesis."
Lightspeed Venture Partners,Michael Mignano,AI/Consumer/Enterprise,"$500K-$10M",Seed to Series B,https://lsvp.com,Apply via website; LinkedIn; warm intros,"Multi-stage fund with strong AI focus. Scout program for early sourcing."
Greylock Partners,Saam Motamedi,Enterprise AI/Infrastructure,"$1M-$15M",Seed to Series A,https://greylock.com,Warm intros preferred; apply via website,"Saam leads AI enterprise investments. Reid Hoffman connection provides AI network."
Accel,Sonali De Rycker,AI/SaaS/Enterprise,"$500K-$15M",Seed to Series A,https://www.accel.com,Apply via website; LinkedIn outreach,"Global fund with strong seed program. Active in AI/ML since early days."
Emergence Capital,Jake Saper,Enterprise AI/SaaS,"$1M-$10M",Seed to Series B,https://www.emcap.com,Apply via website; LinkedIn; email,"Specialized in enterprise cloud/AI. Coined 'coaching networks' thesis. Strong fit for AI assistant products."
Salesforce Ventures,John Somorjai,Enterprise AI/CRM/SaaS,"$500K-$5M",Seed to Growth,https://www.salesforceventures.com,Apply via website; warm intros via Salesforce ecosystem,"Strategic investor. Provides Salesforce ecosystem access. Good for enterprise AI distribution."
Madrona Ventures,Matt McIlwain,AI/Cloud/Enterprise,"$500K-$10M",Seed to Series A,https://www.madrona.com,Apply via website; LinkedIn,"Strong AI thesis. Close ties to Microsoft/Azure. Invested in early AI companies."
